SITEID,Location,SymbolShape,PercentMoapa,PercentShivwits,PercentTusayan,EASTING,NORTHING,PERIOD,Shivwits Separated
NA 13679,Uinkaret Mountains,15,93.8,0,6.2,306400,4029700,1,Yes
NA 13683,Uinkaret Mountains,15,78.9,8.6,12.4,306750,4029400,3,Yes
NA 13684,Uinkaret Mountains,15,37.5,0,62.5,306600,4029550,2,Yes
NA 13685,Uinkaret Mountains,15,77.3,0,22.8,306000,4029850,1,Yes
NA 13689,Uinkaret Mountains,15,76.8,5.4,17.9,306800,4029300,2,Yes
NA 13691,Uinkaret Mountains,15,81,8.6,10.3,304500,4026000,3,Yes
NA 13693,Uinkaret Mountains,15,98.4,0,1.6,304500,4028000,2,Yes
NA 13698,Uinkaret Mountains,15,85.2,1.7,13,305500,4030500,2,Yes
NA 13713,Uinkaret Mountains,15,91.1,3,6,304500,4029000,2,Yes
NA 13718,Uinkaret Mountains,15,66.1,1.3,32.6,306500,4029500,2,Yes
NA 13719,Uinkaret Mountains,15,43.1,1.4,55.5,306300,4029600,2,Yes
NA 13727,Uinkaret Mountains,15,63.2,0,36.8,307800,4029100,1,Yes
NA 13728,Uinkaret Mountains,15,71.6,1.5,26.8,307700,4028950,2,Yes
42WS5162,Saint George Basin,20,0,0,100,282388,4110217,1,Yes
42WS5169,Saint George Basin,20,0,0,100,281775,4110417,1,Yes
42WS3887,Saint George Basin,20,0,0,100,284051,4110887,1,Yes
42WS5164,Saint George Basin,20,0,0,100,282173,4110320,1,Yes
42WS5167,Saint George Basin,20,0,0,100,281971,4110395,1,Yes
42WS5196,Saint George Basin,20,0,0,100,283683,4110225,3,Yes
Granary House (AZ A:14:46),Shivwits Plateau,17,48,15,37,274520,3999110,2,Yes
Andrus Canyon (AZ A:15:151),Shivwits Plateau,17,20,41,39,279917,4002834,3,Yes
Lava Ridge Ruin (AZ A:14:50),Shivwits Plateau,17,20,67,13,274660,3998740,3,Yes
Totsa               (AZ A:14:283),Shivwits Plateau,17,5,87,8,274322,3997070,3,Yes
Corn Cob (AZ A:15:56),Shivwits Plateau,17,24,66,10,278607,4000573,3,Yes
Coyote Site                (AZ A:14:82),Shivwits Plateau,17,25,66,9,273927,3998374,3,Yes
Bart (AZ A:15:63),Shivwits Plateau,17,11,80,9,277490,3997330,3,Yes
AZ B:1:63 (BLM),Plateaus,18,36.6,5.9,57.5,334200,4074200,3,Yes
AZ B:1:68 (BLM),Plateaus,18,3.5,0.7,95.8,333000,4071250,1,Yes
AZ A:10:24 (BLM),Shivwits Plateau,17,57.8,1.5,40.6,260140,4030200,2,Yes
AZ A:10:29 (BLM),Shivwits Plateau,17,63.7,0,36.3,258570,4029800,1,Yes
AZ A:10:36 (ASM),Shivwits Plateau,17,51.2,0,48.8,258950,4030450,1,Yes
AZ A:10:26 (BLM),Shivwits Plateau,17,61.6,1.9,36.5,260900,4028880,1,Yes
AZ A:10:10 (ASM),Shivwits Plateau,17,74.7,0.6,24.7,258100,4029730,1,Yes
AZ A:10:82 (ASM),Shivwits Plateau,17,65.3,2.8,31.9,261433,4031558,2,Yes
AZ A:10:25 (BLM),Shivwits Plateau,17,64.9,6.3,28.8,259061,4024096,2,Yes
AZ A:10:27 (ASM),Shivwits Plateau,17,57.5,32.9,9.6,260228,4024713,3,Yes
AZ A:10:37 (ASM),Shivwits Plateau,17,36,7,57,259234,4030734,2,Yes
AZ A:10:16 (BLM),Shivwits Plateau,17,32.3,66.7,1.1,259855,4030046,3,Yes
AZ A:10:20 (BLM),Shivwits Plateau,17,26.5,60.6,12.9,262500,4024825,3,Yes
AZ A:10:28 (BLM),Shivwits Plateau,17,55.7,4.1,40.2,258620,4029860,2,Yes
AZ A:10:83 (ASM),Shivwits Plateau,17,65.3,2.8,31.9,261325,4031784,1,Yes
MRS4,Moapa Valley,16,18,9.1,72.9,191856.8103,4051553.268,2,Yes
MRS5A,Moapa Valley,16,13.7,19.9,66.4,191895.1897,4051583.715,2,Yes
MRS5B,Moapa Valley,16,20.8,17.8,61.4,191895.1897,4051583.715,2,Yes
MRS5C,Moapa Valley,16,12,25,63,191895.1897,4051583.715,2,Yes
MRS9,Moapa Valley,16,8.8,4.4,86.8,191796.5731,4051804.704,2,Yes
MRS10,Moapa Valley,16,12.7,15.9,71.4,191760.5693,4051766.217,2,Yes
MRS11,Moapa Valley,16,14.4,9.3,76.3,191779.7573,4051855.692,2,Yes
