Site,Location,PercentUpland,Total,Period,PercentCorrugated,PercentMoapa,PercentShivwits,PointType
16-002,Southern Shivwits Plateau,,31,1,0,,26,15
AZ A:10:83 (ASM),Hidden Hills,65.7,35,1,0,65.7,0,17
AZ A:15:296 (ASM),Southern Shivwits Plateau,,41,1,0,,41,15
AZ A:15:248 (ASM),Southern Shivwits Plateau,,92,1,0,,18,15
AZ A:15:345 (ASM),Southern Shivwits Plateau,,102,1,0,,60,15
16-001,Southern Shivwits Plateau,,109,1,0,,3,15
AZ A:15:366 (ASM),Southern Shivwits Plateau,,111,1,0,,63,15
AZ A:10:36 (ASM),Hidden Hills,51.2,172,1,0,51.2,0,17
AZ A:10:10 (ASM),Hidden Hills,75.3,178,1,0,74.7,0.6,17
AZ A:10:29 (BLM),Hidden Hills,63.7,190,1,0,63.7,0,17
AZ A:10:26 (BLM),Hidden Hills,63.5,739,1,0,61.6,1.9,17
AZ A:10:28 (BLM),Hidden Hills,59.8,542,2,0.9,55.7,4.1,17
13-019,Southern Shivwits Plateau,,91,2,1,,43,15
AZ A:15:076 (ASM),Southern Shivwits Plateau,,97,2,1,,37,15
AZ A:15:315 (ASM),Southern Shivwits Plateau,,119,2,1,,17,15
AZ A:15:335 (ASM),Southern Shivwits Plateau,,155,2,1,,30,15
AZ A:10:27 (ASM) SCU1,Hidden Hills,66.7,166,2,1.8,60,6.7,17
AZ A:10:24 (BLM),Hidden Hills,59.4,5822,2,1.8,57.8,1.5,17
AZ A:15:052 (ASM),Southern Shivwits Plateau,,148,2,3,,25,15
AZ A:15:371 (ASM),Southern Shivwits Plateau,,78,2,4,,82,15
AZ A:10:82 (ASM),Hidden Hills,68.1,144,2,4.2,65.3,2.8,17
AZ A:15:394 (ASM),Southern Shivwits Plateau,,21,2,5,,48,16
AZ A:15:332 (ASM),Southern Shivwits Plateau,,62,2,5,,69,16
13-039,Southern Shivwits Plateau,,80,2,5,,5,16
AZ A:15:370 (ASM),Southern Shivwits Plateau,,331,2,5,,71,16
AZ A:10:25 (BLM),Hidden Hills,71.2,111,2,5.4,64.9,6.3,17
AZ A:10:37 (ASM),Hidden Hills,43,200,2,5.5,36,7,17
Granary House (AZ A:14:46),Southern Shivwits Plateau,63,46,2,7,48,15,16
AZ A:15:357 (ASM),Southern Shivwits Plateau,,46,2,7,,91,16
AZ A:15:104 (ASM),Southern Shivwits Plateau,,88,2,7,,19,16
AZ A:15:386 (ASM),Southern Shivwits Plateau,,156,2,8,,79,16
AZ A:15:326 (ASM),Southern Shivwits Plateau,,62,2,10,,74,16
AZ A:15:321 (ASM),Southern Shivwits Plateau,,84,2,12,,87,16
AZ A:15:108 (ASM),Southern Shivwits Plateau,,116,2,12,,97,16
AZ A:15:352 (ASM),Southern Shivwits Plateau,,51,2,14,,45,16
AZ A:15:360 (ASM),Southern Shivwits Plateau,,169,2,14,,89,16
AZ A:15:340 (ASM),Southern Shivwits Plateau,,75,2,15,,28,16
13-029,Southern Shivwits Plateau,,151,2,18,,76,16
AZ A:15:307 (ASM),Southern Shivwits Plateau,,47,2,19,,83,16
AZ A:15:327 (ASM),Southern Shivwits Plateau,,94,2,20,,81,16
AZ A:15:282 (ASM),Southern Shivwits Plateau,,139,2,20,,78,16
AZ A:10:27 (ASM) SCU5 and TP3,Hidden Hills,82.9,170,3,24.1,62.4,20.6,17
13-040,Southern Shivwits Plateau,,119,3,25,,18,16
AZ A:15:311 (ASM),Southern Shivwits Plateau,,99,3,26,,93,16
AZ A:15:293 (ASM),Southern Shivwits Plateau,,279,3,27,,84,16
AZ A:15:329 (ASM),Southern Shivwits Plateau,,112,3,28,,80,16
Andrus Canyon (AZ A:15:151),Southern Shivwits Plateau,61,66,3,32,20,41,16
AZ A:15:362 (ASM),Southern Shivwits Plateau,,93,3,32,,80,16
AZ A:15:151 (ASM),Southern Shivwits Plateau,,210,3,34,,48,16
Lava Ridge Ruin (AZ A:14:50),Southern Shivwits Plateau,87,2467,3,38,20,67,16
AZ A:15:074 (ASM),Southern Shivwits Plateau,,89,3,39,,60,16
Bart (AZ A:15:63),Southern Shivwits Plateau,91,1333,3,39,11,80,16
AZ A:15:123 (ASM),Southern Shivwits Plateau,,203,3,40,,67,16
AZ A:15:079 (ASM),Southern Shivwits Plateau,,178,3,44,,15,16
Totsa               (AZ A:14:283),Southern Shivwits Plateau,92,276,3,51,5,87,16
Corn Cob (AZ A:15:56),Southern Shivwits Plateau,90,160,3,55,24,66,16
AZ A:10:16 (BLM),Hidden Hills,98.9,93,3,55.9,32.3,66.7,17
Coyote Site                (AZ A:14:82),Southern Shivwits Plateau,91,1051,3,58,25,66,16
AZ A:10:20 (BLM),Hidden Hills,87.1,249,3,59,26.5,60.6,17
13-026,Southern Shivwits Plateau,,73,3,85,,88,16
